3,4,12,28104, - Mx 1553#110,3,,0,0,4,7,7,7,7,6,8,8,9,10,14,19,19,20,23,27,27,27,32,35,36,36,38,38,43,47,65,84,82,82,90,,25,30,30,30,30,35,35,35,35,40,45,50,50,55,55,55,60,60,60,65,65,65,65,65,65,65,65,,,,,,A,,,,F,,,,,,,
3,4,11,28095, - Mx 1553#75,3,,0,0,1,1,1,0,0,1,2,3,5,5,5,5,5,5,5,5,5,5,5,5,6,9,10,9,12,14,15,17,16,16,16,,,5,10,10,10,10,20,20,20,20,25,25,25,30,35,35,35,35,35,40,40,40,40,40,40,40,40,,,,,,,,,,,,,A,,,,
3,4,10,28086, - Mx 1553#117,3,,1,0,2,2,6,7,6,7,9,8,9,9,10,15,17,17,22,23,25,28,32,34,38,40,41,42,44,44,53,53,52,51,50,,15,20,20,20,20,25,30,30,30,30,40,40,45,50,55,50,50,50,50,50,50,50,50,50,50,50,50,,,,,A,,F,,,,,,,,,,
3,4,9,28077, - Mx 1553#7,3,,0,0,3,5,5,6,7,8,9,9,9,10,14,16,20,23,24,25,25,25,25,26,27,28,29,30,29,30,32,39,38,38,36,,20,25,25,25,25,25,30,35,35,35,40,40,40,40,40,40,40,40,45,45,45,45,45,45,40,40,40,,,,,,,,,F,,,,,,,,
3,4,8,28068, - Mx 1553#115,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,5,6,7,7,6,6,6,,,,0,0,0,5,5,10,10,10,15,15,20,20,20,25,25,25,30,30,30,30,25,25,25,25,25,,,,,,,,,A,,,F,,,,,
3,4,7,28059, - Mx 1553#103,3,,0,0,0,0,1,1,0,1,1,1,1,3,4,4,4,4,7,8,8,9,11,12,13,13,22,20,27,30,32,34,34,35,36,,5,5,10,10,15,15,20,20,25,25,30,30,30,30,35,40,40,40,45,45,45,45,45,40,40,40,40,,,,,,,,,,A,F,,,,,,
3,4,6,28052, - Mx 1553#43,3,,0,6,7,5,2,6,8,13,13,13,15,18,24,29,29,36,38,37,41,41,46,48,52,51,56,55,55,59,66,72,72,72,70,,15,25,25,25,30,30,35,35,45,45,45,45,45,45,50,55,60,60,60,60,60,60,60,60,60,60,55,,,,,A,,,F,,,,,,,,,
3,4,5,28043, - Mx 1553#90,3,,0,0,0,0,0,0,1,1,1,1,1,1,3,3,4,5,6,6,5,5,5,5,5,5,5,6,10,9,8,11,11,10,11,,5,10,10,15,20,15,20,25,20,20,25,20,25,25,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,
3,4,4,28034, - Mx 1553#25,3,,0,0,0,1,4,7,7,7,7,7,7,7,7,7,7,10,10,10,13,15,22,24,27,27,31,32,36,36,41,47,45,40,45,,15,20,25,25,25,25,30,30,30,30,30,30,30,30,30,30,35,35,35,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,,,,
3,4,3,28026, - Mx 1553#1,3,,0,0,0,2,5,5,5,5,5,5,6,5,9,9,10,12,13,16,15,20,22,23,25,23,27,28,28,29,33,34,34,34,34,,15,20,20,25,25,25,30,35,40,40,40,40,35,40,45,45,50,50,50,55,55,55,60,60,60,60,60,,,,,,,,,,,,,,,,,
3,4,2,28017, - Mx 1553#45,3,,0,0,0,4,5,8,10,11,11,10,11,11,13,13,13,15,18,16,19,21,21,25,25,25,23,26,23,30,27,28,24,23,23,,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,
3,4,1,28009, - Mx 1553#86,3,,0,0,0,2,3,2,2,2,2,2,2,2,3,3,3,3,6,8,7,7,8,8,8,8,8,9,9,10,12,13,14,14,14,,15,15,15,20,15,15,20,25,25,25,30,25,25,25,25,30,30,35,30,35,40,40,40,40,40,40,40,,,,,,,,A,,,F,,,,,,
3,5,1,28010, - Mx 1553#98,3,,0,0,3,3,3,3,3,1,1,2,2,2,4,4,5,5,5,6,6,6,7,8,9,8,11,10,12,12,19,18,19,19,21,,5,10,10,10,10,15,15,15,20,15,20,20,20,20,20,20,20,25,25,30,30,30,25,25,25,25,25,,,,,,,,,,A,,,,,,,
3,5,2,28018, - Mx 1553#94,3,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,4,5,5,5,5,7,10,11,11,17,18,18,18,18,,,,0,5,5,10,15,15,15,15,25,25,25,25,30,30,30,30,30,35,40,40,40,40,40,40,40,,,,,,,,,,,,,A,,,F,
3,5,3,28027, - Mx 1553#59,3,,0,0,0,4,6,8,9,14,14,14,14,17,19,19,23,26,29,29,35,36,39,40,43,46,52,54,59,60,71,74,74,74,77,,15,15,15,15,15,20,20,30,30,30,35,40,35,35,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,A,,,,
3,5,4,28035, - Mx 1553#22,3,,0,1,6,7,6,8,8,8,8,11,15,16,18,20,21,24,27,29,30,30,31,33,33,33,41,51,59,58,70,75,76,75,73,,20,25,25,25,25,30,35,30,35,35,40,35,40,45,50,50,50,50,55,55,55,55,55,55,55,55,55,,,,,A,,F,,,,,,,,,,
3,5,5,28044, - Mx 1553#92,3,,0,0,0,0,1,1,3,3,3,3,3,3,4,4,4,4,5,5,6,10,11,12,12,14,14,15,21,22,30,32,34,34,37,,5,15,20,20,20,25,30,35,35,35,35,35,35,40,45,45,45,45,45,45,45,45,40,40,40,40,40,,,,,,,,,,,,A,F,,,,
3,5,6,ABR 15 FS B3-R5 C6, - Goliath,3,,0,0,5,5,5,5,6,6,6,6,6,7,9,11,14,15,16,16,16,16,18,20,21,22,24,24,27,29,38,43,44,41,38,,25,30,30,40,40,40,45,45,50,50,50,50,50,60,65,65,65,65,65,65,65,65,60,60,60,60,55,,,,,F,,,,,,,,,,,,
3,5,7,28060, - Mx 1553#81,3,,0,0,1,2,2,3,3,3,4,5,6,5,5,5,8,8,9,10,10,11,12,12,12,12,11,12,11,12,12,14,13,14,14,,20,20,25,30,30,35,40,40,40,40,40,35,35,40,40,35,35,35,30,30,35,35,30,25,25,25,25,,,A,,F,,,,,,,,,,,,
3,5,8,28069, - Mx 1553#16,3,,0,0,0,3,3,4,5,4,3,3,4,6,9,10,15,15,15,16,14,20,23,25,26,26,27,27,27,30,49,55,60,55,60,,10,10,10,15,15,15,20,20,20,20,25,20,20,25,35,35,40,40,40,45,45,45,45,45,45,45,40,,,,,,F,,,,,,,,,,,
3,5,9,28078, - Mx 1553#77,3,,1,3,4,3,6,5,8,8,7,7,7,7,14,15,17,19,22,23,25,31,36,39,43,46,48,47,56,57,93,82,82,77,83,,20,25,25,30,30,30,35,35,35,40,45,45,50,55,55,60,60,65,65,70,70,70,70,70,70,70,70,,,,,A,,,F,,,,,,,,,
3,5,10,28087, - Mx 1553#109,3,,0,0,1,2,5,8,9,9,9,9,9,9,10,11,11,13,20,21,22,22,24,27,27,27,27,27,27,31,40,44,46,48,48,,15,15,20,25,25,25,30,30,35,35,40,40,45,45,50,50,50,50,50,55,55,60,60,55,55,55,55,,,,,,,,,,,,,A,,,,
3,5,11,28096, - Mx 1553#44,3,,1,1,1,2,4,5,5,6,7,7,6,7,7,7,7,8,8,11,13,16,20,20,21,22,24,24,26,29,33,34,34,34,34,,10,15,20,20,20,25,25,25,25,25,30,25,30,30,30,30,30,35,35,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,A,,,
3,5,12,28105, - Mx 1553#50,3,,0,0,0,3,5,7,7,7,6,7,7,7,8,8,8,11,17,18,19,19,22,23,25,24,38,46,53,54,58,58,61,60,60,,10,15,15,15,20,20,25,30,30,25,30,30,30,30,30,30,30,30,30,30,30,35,35,30,30,30,30,,,,,,,,,,,,,,A,,,
3,6,12,ABR 15 FS B3-R6 C12, - Goliath,3,,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,5,5,5,5,5,6,9,9,9,9,9,,,,5,5,5,10,20,30,30,25,35,30,35,35,35,35,35,35,35,35,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,
3,6,11,28097, - Mx 1553#61,3,,1,1,1,2,3,6,7,7,7,7,7,7,8,11,17,19,20,21,22,22,24,28,30,31,33,34,37,36,47,47,48,47,49,,10,15,20,20,20,25,30,35,35,30,40,40,40,40,45,45,45,45,50,50,50,50,50,45,45,45,45,,,,,,,,,,A,,,F,,,,
3,6,10,28088, - Mx 1553#53,3,,0,0,5,7,7,13,11,11,14,13,15,15,20,21,25,28,27,34,37,42,49,53,56,59,63,68,68,70,81,87,89,89,88,,20,25,25,30,30,25,40,40,45,40,50,50,55,55,65,70,65,65,60,60,60,60,60,60,55,55,55,,,,,,A,,,F,,,,,,,,
3,6,9,28079, - Mx 1553#63,3,,0,0,3,7,7,9,10,11,12,13,13,13,15,21,27,30,46,48,49,54,55,58,62,63,65,70,76,83,114,118,120,125,130,,20,25,25,25,30,30,35,40,45,40,45,50,50,55,55,60,60,50,55,55,55,55,55,55,55,55,55,,,,,,,,A,F,,,,,,,,
3,6,8,28070, - Mx 1553#26,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,4,4,5,5,4,,,,0,0,0,0,0,0,0,0,0,5,5,5,5,10,10,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
3,6,7,28061, - Mx 1553#74,3,,0,0,1,1,2,2,2,2,4,5,6,5,6,6,9,8,8,10,10,10,10,11,13,13,18,20,21,21,24,26,27,26,26,,10,10,10,15,15,10,25,30,30,30,35,35,35,35,40,40,40,35,40,40,40,40,40,40,40,40,40,,,,,,,,A,,,F,,,,,,
3,6,6,28053, - Mx 1553#18,3,,0,0,2,2,5,8,6,7,9,10,14,15,16,17,20,20,22,26,30,35,40,46,64,70,80,86,86,102,118,137,135,135,131,,10,15,15,15,20,20,25,25,30,25,30,35,35,35,40,40,40,40,40,40,40,40,40,40,35,35,35,,,,,,,,A,,F,,,,,,,
3,6,5,28045, - Mx 1553#49,3,,0,0,1,1,2,7,5,10,9,11,11,11,11,13,13,15,19,19,23,24,26,27,29,28,30,37,37,39,48,51,52,52,54,,10,10,10,15,15,15,20,20,25,20,30,30,30,30,30,30,35,40,40,40,40,45,45,45,45,45,45,,,,,,,,,,,,,A,,,,
3,6,4,28036, - Mx 1553#15,3,,0,2,5,7,6,8,7,8,7,7,7,9,10,10,13,15,17,17,20,20,23,25,26,28,30,31,32,39,43,54,54,56,57,,25,25,20,20,20,25,30,30,35,35,40,40,40,40,45,45,50,50,50,55,55,55,60,60,60,60,60,,,,,,A,,F,,,,,,,,,
3,6,3,28028, - Mx 1553#114,3,,0,0,1,2,3,4,5,8,10,10,11,11,11,13,11,12,15,16,23,29,29,36,36,36,36,38,40,41,46,46,48,55,50,,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,
3,6,2,28019, - Mx 1553#10,3,,1,1,4,7,7,5,7,6,6,6,6,7,11,10,17,21,25,26,28,29,36,36,40,44,46,47,49,56,78,85,85,87,89,,5,10,10,15,15,15,20,20,20,20,30,25,25,25,30,35,35,35,40,40,40,40,40,45,45,45,45,,,,,,,,,,,F,,,,,,
3,6,1,28011, - Mx 1553#120,3,,5,5,9,8,10,13,14,15,18,19,27,26,23,27,30,35,43,43,44,20,53,60,62,66,65,73,85,90,108,116,114,115,115,,15,15,20,20,20,20,25,30,30,30,35,35,35,35,35,35,35,40,40,40,40,40,40,45,45,45,45,,,,,,,,,,,A,,,,,,
3,7,1,28012, - Mx 1553#102,3,,0,1,1,2,2,3,3,3,3,4,5,5,8,10,11,13,13,13,13,13,13,15,15,16,21,22,26,28,28,29,30,31,32,,20,20,25,25,25,25,35,35,35,35,40,40,40,40,45,45,50,50,50,50,50,50,50,50,50,50,50,,,,,A,,F,,,,,,,,,,
3,7,2,28020, - Mx 1553#11,3,,0,0,0,0,3,5,5,4,4,5,4,4,6,6,7,7,8,8,12,13,17,19,19,20,21,23,23,25,26,26,26,25,25,,20,20,25,25,30,30,40,40,45,45,50,50,50,50,50,55,55,55,55,55,55,55,55,55,55,55,55,,,,,,,,A,,F,,,,,,,
3,7,3,28029, - Mx 1553#105,3,,0,0,0,1,1,2,2,2,3,3,3,3,3,5,6,6,7,8,10,15,16,16,16,16,17,19,19,21,21,24,27,29,26,,15,20,20,20,20,25,25,25,35,25,35,40,45,50,50,45,45,45,45,45,45,45,40,40,40,40,40,,,,,A,,,F,,,,,,,,,
3,7,4,28037, - Mx 1553#112,3,,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,4,4,4,4,5,5,5,5,,5,5,10,10,5,5,5,5,10,10,15,15,15,15,15,15,20,20,20,25,25,25,25,25,25,25,25,,,,,,,,,,,,,,,,,
3,7,5,28046, - Mx 1553#69,3,,0,0,2,3,5,11,9,12,12,13,12,13,14,18,23,28,36,38,39,43,47,50,52,53,57,63,71,78,86,110,107,108,114,,15,20,20,25,25,30,35,40,45,40,45,40,45,50,45,45,45,45,50,50,50,50,50,50,50,50,50,,,,,,,,,,AF,,,,,,,
3,7,6,28054, - Mx 1553#12,3,,4,3,13,10,8,6,6,11,15,14,18,16,21,21,25,25,31,33,31,42,44,49,56,56,63,72,79,88,112,116,126,123,125,,10,20,20,25,25,30,35,40,40,40,50,50,50,55,55,55,65,65,65,70,75,70,70,65,65,65,65,,,,,,,,,F,,,,,,,,
3,7,7,28062, - Mx 1553#76,3,,0,0,0,1,2,1,2,2,2,2,2,2,5,6,7,8,11,11,12,12,15,16,16,16,16,16,18,18,23,23,23,27,26,,20,25,30,35,35,35,45,50,50,50,55,55,55,55,60,60,60,60,65,65,65,60,60,60,60,60,60,,,,,,A,,,F,,,,,,,,
3,7,8,28071, - Mx 1553#11,3,,0,0,2,4,5,5,5,5,5,6,6,7,10,11,11,11,15,17,18,22,23,24,25,25,27,26,27,27,29,31,29,29,28,,30,30,30,35,40,40,50,50,50,50,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,,,,,A,,,F,,,,,,,,,
3,7,9,28080, - Mx 1553#36,3,,0,0,7,6,8,7,7,9,12,12,14,13,14,15,15,19,21,26,27,27,27,30,30,30,30,32,34,36,48,64,64,64,64,,30,30,35,40,40,40,45,50,55,55,60,60,60,65,65,65,65,65,65,70,75,75,75,75,75,75,75,,,,,,,,,,,,A,,,,,
3,7,10,28089, - Mx 1553#104,3,,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,3,3,5,5,5,5,8,8,9,9,11,11,13,15,15,16,16,16,,5,5,5,5,15,15,20,20,25,20,25,25,25,25,30,30,30,30,35,40,40,40,40,40,40,40,40,,,,,,,,A,,,F,,,,,,
3,7,11,28098, - Mx 1553#27,3,,0,0,0,2,3,3,4,4,2,4,3,4,6,6,7,7,8,8,10,10,11,11,11,11,13,13,13,13,14,15,15,15,15,,15,15,15,15,20,20,20,20,25,25,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,
3,7,12,28106, - Mx 1553#89,3,,0,0,0,0,1,2,3,3,3,3,3,4,4,4,4,5,7,9,10,10,11,11,14,15,15,17,19,22,28,32,31,32,32,,25,25,30,30,20,25,30,35,40,35,50,50,50,50,50,50,50,55,60,65,65,60,60,60,60,60,60,,,,A,,,F,,,,,,,,,,
3,8,12,28107, - Mx 1553#19,3,,1,4,2,3,5,7,6,9,8,9,9,9,12,11,16,17,18,21,22,24,23,25,25,29,29,30,31,32,40,40,45,47,45,,10,10,10,15,15,20,25,25,25,25,25,25,25,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,A,,,,,
3,8,11,28099, - Mx 1553#88,3,,0,0,2,5,7,8,7,9,10,10,14,14,18,17,16,15,16,18,19,24,27,31,33,37,40,42,46,46,55,69,67,69,67,,10,15,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,35,35,35,35,35,35,35,35,35,,,,,,,,,A,F,,,,,,,
3,8,10,28090, - Mx 1553#66,3,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,,,5,5,5,5,10,15,15,20,20,25,25,25,25,25,25,25,25,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,A,,
3,8,9,28081, - Mx 1553#40,3,,0,0,4,3,2,4,3,4,6,6,7,8,11,12,15,16,19,20,20,21,21,23,24,24,24,27,32,42,53,55,62,61,62,,30,25,25,30,35,30,45,45,50,45,50,50,50,50,50,50,50,55,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,,
3,8,8,28072, - Mx 1553#84,3,,1,1,1,1,1,1,1,1,1,1,1,2,5,5,5,7,8,10,10,13,13,13,14,14,14,14,14,14,14,14,14,15,15,,15,15,20,25,25,25,30,30,35,35,35,30,30,35,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,A,,,F,,,,
3,8,7,28063, - Mx 1553#20,3,,0,0,0,0,0,0,1,2,2,2,3,3,4,4,4,4,4,4,4,4,5,7,9,13,16,16,17,18,19,22,22,21,20,,5,5,5,10,10,10,15,15,15,15,20,20,20,20,20,25,30,30,35,35,35,35,35,35,35,35,35,,,,,,,,,,,,,A,,,,
3,8,6,28055, - Mx 1553#118,3,,0,0,0,0,1,5,4,4,4,4,5,5,5,5,8,9,8,8,9,10,12,13,14,14,14,16,16,16,16,16,18,17,16,,10,10,15,15,15,20,25,25,25,20,25,25,25,25,25,25,25,25,25,25,25,25,30,30,30,30,30,,,,,,,,,,,,,,,,,
3,8,5,28047, - Mx 1553#17,3,,0,0,0,0,0,0,0,2,2,2,2,2,2,3,4,6,6,6,6,6,6,6,6,6,8,9,10,12,15,16,20,21,19,,,5,10,10,15,15,20,20,25,20,25,25,25,25,30,30,30,35,35,40,40,40,40,40,40,40,40,,,,,,,,,,A,,F,,,,,
3,8,4,28038, - Mx 1553#71,3,,0,0,0,1,2,2,6,5,5,5,5,5,7,8,8,12,15,18,18,19,23,26,28,33,37,41,47,52,77,88,86,89,90,,15,15,15,15,15,20,20,25,25,25,25,30,30,30,35,40,40,40,45,45,45,45,50,50,50,50,50,,,,,,,,,,,,A,F,,,,
3,8,3,28030, - Mx 1553#97,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
3,8,2,28021, - Mx 1553#4,3,,0,0,1,4,4,6,8,10,11,11,12,17,21,22,25,27,28,29,28,29,30,31,32,32,34,34,38,44,55,57,62,62,62,,15,15,20,20,20,20,25,25,30,30,35,30,35,35,40,45,45,45,45,50,50,50,50,50,50,50,50,,,,,,,,,,,,F,,,,,
3,8,1,28013, - Mx 1553#72,3,,1,1,3,4,5,7,6,10,11,13,16,16,15,17,19,20,25,25,25,29,31,34,42,46,46,54,55,57,59,71,70,68,69,,25,25,25,30,25,25,30,30,35,40,40,40,40,40,45,50,50,50,55,55,55,55,55,55,55,55,55,,,,,,,,,,F,,,,,,,
3,9,1,28014, - Mx 1553#6,3,,0,1,2,5,5,6,7,8,9,9,9,9,12,11,12,19,20,20,21,22,23,25,28,27,29,28,32,35,42,50,58,52,55,,15,20,25,25,25,25,25,25,30,35,40,40,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,F,,,,,,,,,,,,
3,9,2,28022, - Mx 1553#100,3,,0,1,1,1,0,4,1,2,3,3,3,3,3,3,6,7,6,6,8,10,12,13,13,12,16,17,16,16,16,21,24,25,25,,10,15,15,20,20,25,30,30,40,35,40,45,45,45,45,45,45,45,45,45,45,45,40,40,40,40,40,,,,A,,,,F,,,,,,,,,
3,9,3,28031, - Mx 1553#99,3,,0,1,4,5,5,6,6,7,7,7,8,10,12,13,13,14,15,15,15,16,16,18,18,19,19,19,19,19,16,20,20,21,23,,15,15,15,15,20,20,25,25,30,30,40,40,40,40,45,45,45,50,50,55,50,50,50,50,50,50,50,,,,,,,,,,,,A,,,,,
3,9,4,28039, - Mx 1553#60,3,,3,3,10,9,7,12,16,22,25,25,34,34,34,35,36,37,40,46,48,52,56,59,68,66,73,82,87,89,96,120,115,125,117,,15,15,20,20,25,25,30,30,35,35,40,40,40,40,45,45,45,45,45,45,50,50,50,50,50,50,50,,,,,,,,,,,F,,,,,,
3,9,5,28048, - Mx 1553#95,3,,2,2,5,5,7,9,11,12,12,14,16,17,19,23,24,29,30,31,37,38,41,41,42,43,43,44,47,49,71,72,65,62,65,,25,25,25,25,25,30,35,30,35,35,35,35,35,40,40,40,40,40,45,45,45,45,45,45,45,45,45,,,,A,F,,,,,,,,,,,,
3,9,6,ABR 15 FS B3-R9 C6,giganteus,3,,0,0,1,1,2,2,2,3,3,3,7,7,10,10,13,13,12,12,12,14,18,19,20,22,22,23,26,28,36,41,46,43,42,,20,25,25,25,25,25,30,30,30,30,35,30,25,25,25,25,25,25,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,
3,9,7,28064, - Mx 1553#39,3,,1,3,9,6,6,7,8,11,13,12,13,14,16,19,21,22,23,25,26,27,37,41,49,50,52,53,55,58,73,93,102,93,92,,15,20,20,20,20,20,30,30,35,35,40,40,40,45,50,50,50,50,55,55,55,60,60,60,65,65,65,,,,,,,,,,,,F,,,,,
3,9,8,28073, - Mx 1553#67,3,,0,0,1,2,2,3,2,4,4,4,5,6,11,12,14,14,17,20,19,21,21,21,23,23,23,25,25,25,35,36,33,37,36,,20,20,20,25,25,25,30,30,35,35,40,40,40,40,40,45,45,45,45,50,50,50,50,50,50,50,50,,,,,,,,,,,,,,,,,
3,9,9,28082, - Mx 1553#42,3,,0,0,1,7,7,4,5,11,12,12,14,13,15,15,18,20,20,24,26,29,29,29,33,32,32,32,33,34,34,35,35,35,34,,10,15,20,20,25,20,30,30,30,30,35,40,40,40,40,45,45,45,45,45,45,40,40,40,40,40,40,,,,,A,,,F,,,,,,,,,
3,9,10,28091, - Mx 1553#35,3,,0,0,1,2,2,2,1,1,5,4,4,5,5,5,6,6,6,7,7,7,10,10,11,11,13,14,14,20,32,32,32,34,34,,,5,10,10,15,15,20,20,25,25,35,35,35,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,
3,9,11,28100, - Mx 1553#8,3,,0,0,3,3,6,5,2,2,2,3,10,10,13,16,16,19,21,22,24,28,39,43,46,46,46,48,53,55,67,80,80,84,86,,20,20,30,30,30,30,35,35,40,40,45,40,45,45,45,45,50,50,50,50,55,60,65,65,65,65,65,,,,,,,,,,,,,,,,,
3,9,12,28108, - Mx 1553#82,3,,0,0,2,3,3,3,3,4,3,6,6,7,10,15,17,20,22,22,24,31,36,45,55,68,77,82,92,98,109,118,124,127,125,,20,25,30,35,40,40,45,45,50,50,50,50,50,55,55,60,65,70,75,75,80,80,75,75,75,75,75,,,,,,,,,A,,F,,,,,,
